driverId,name,ssn,location,certified,wage-plan
10,Brenda Evans,882-93-3770,"6155 Elizabeth Way
Port Derek, PW 19292",N,hours
11,Raymond Scott,395-07-4034,"994 Patel Ridge
Simsfurt, AL 09945",N,miles
12,Devon Vargas,099-86-7371,"23966 Nelson Highway
Frostburgh, CA 30641",N,hours
13,Angela Smith,389-64-5046,"29525 Cochran Tunnel
Lake Ashley, FL 61449",Y,hours
14,Barbara Adams,486-47-2596,"USCGC Osborne
FPO AA 87528",N,miles
15,Gregory Smith,211-82-7267,"40525 Jennifer Vista Suite 644
Thomashaven, VI 23662",N,miles
16,Steven Harris,146-57-3998,"824 Derek Mission
Shannonfurt, AS 71918",N,miles
17,Sarah Jones,737-06-6474,"8848 Griffin Drive Apt. 095
Michaelbury, MO 35642",Y,hours
18,Mr. Bryce Davis,211-11-6281,"0619 Rodriguez Pines Apt. 539
Lake Charleston, PR 71752",Y,hours
19,Mr. Devin Cox,730-10-8082,"Unit 6032 Box 9728
DPO AA 42643",N,hours
20,Ray Robinson,393-96-3661,"Unit 3983 Box 4073
DPO AA 85698",N,hours
21,Jay Gonzalez,791-48-7496,"0536 Shannon Street
New Timothy, FM 21512",Y,miles
22,Michael Payne,379-33-6188,"7900 Christopher River Suite 671
South Natalieview, MN 77936",N,hours
23,Briana Chambers,792-12-0465,"396 Anna Crescent Apt. 930
Mcconnellton, UT 39590",N,hours
24,Jessica Sharp,443-97-9234,"2411 Powell Junctions
Port Matthewshire, AS 34292",Y,miles
25,Wendy Hernandez,482-20-6984,"7202 Christian Ports
Kaylachester, WI 02896",N,miles
26,Stacy Rogers,682-56-9531,"9824 Foster Streets
East Alicia, DC 31964",N,hours
27,Keith Hines,289-03-9723,"997 Kerri Springs
Laurenberg, NM 76150",Y,hours
28,Tiffany Stevens,061-73-8920,"PSC 3173, Box 8492
APO AP 74808",N,hours
29,Cristian Miller,645-12-7488,"69864 Jamie Center
Sextonberg, IA 43448",N,hours
30,Tonya Cox,243-27-8740,"USS Davis
FPO AP 17110",Y,miles
31,Nancy Huffman,224-65-2195,"1957 Chung Squares Apt. 939
Lake Miguelchester, MS 68935",N,hours
32,Nicholas Cole,778-31-4736,"99249 Michelle Rapid
Port Garrettshire, IA 43042",N,hours
33,Mary Mccullough,568-52-4582,"870 Deborah Flats
Perkinschester, MN 57107",Y,miles
34,Jennifer Willis,843-77-5662,"1064 Newman Ways
Kentmouth, RI 89866",Y,miles
35,Melissa Bell,378-88-4831,"328 Patel Gateway
South Zacharyland, AL 18832",N,hours
